Bag number,,,Volume,Raw,Dilution,Volume,Raw,Dilution,Volume,,
17,6/2/2020,2-50,0.00,,,,,,,,
17,6/2/2020,3-10,1.00,,,,,,,,
17,6/2/2020,3-30,0.00,,,,,,,,
17,6/2/2020,3-50,0.00,,,,,,,no vacuum,
17,6/2/2020,4-10,0.00,,,,,,,no vacuum,
17,6/2/2020,4-30,0.00,,,,,,,no vacuum,
17,6/2/2020,4-50,0.00,,,,,,,no vacuum,
17,6/2/2020,5-10,0.00,,,,,,,no vacuum,
17,6/2/2020,5-30,1.00,,,,,,,less than,
17,6/2/2020,5-50,1.00,,,,,,,less than,
17,6/2/2020,6-10,0.00,,,,,,,,
17,6/2/2020,6-30,0.00,,,,,,,no vacuum,
17,6/2/2020,6-50,0.00,,,,,,,no vacuum,
17,6/16/2020,1-10,<1,,,,,,,less than,
17,6/16/2020,1-30,14,0.4561,0.9122,0.0128,0.1607,0.3214,0.0044996,,
17,6/16/2020,1-50,28,0.3778,0.7556,0.0212,0.2355,0.4710,0.013188,,
17,6/16/2020,2-10,0,,,,,,,,
17,6/16/2020,2-30,5,1.452,2.9040,0.0145,0.4285,0.8570,0.004285,,
17,6/16/2020,2-50,17,0.5792,1.1584,0.0197,0.1806,0.3612,0.0061404,,
17,6/16/2020,3-10,9,0.7505,1.5010,0.0135,0.3227,0.6454,0.0058086,,
17,6/16/2020,3-30,12,0.6637,1.3274,0.0159,0.1562,0.3124,0.0037488,,
17,6/16/2020,3-50,0,,,,,,,,
17,6/16/2020,4-10,0,,,,,,,,
17,6/16/2020,4-30,<1,,,,,,,less than,
17,6/16/2020,4-50,<1,,,,,,,less than,
17,6/16/2020,5-10,1,,,,,,,,
17,6/16/2020,5-30,20,0.4263,0.8526,0.0171,0.1369,0.2738,0.005476,,
17,6/16/2020,5-50,8,1.158,2.3160,0.0185,0.1014,0.2028,0.0016224,,
17,6/16/2020,6-10,4,1.326,2.6520,0.0106,0.5520,1.1040,0.004416,,
17,6/16/2020,6-30,0,,,,,,,,
17,6/16/2020,6-50,<1,,,,,,,less than,
17,6/30/2020,1-10,0,,,,,,,,
17,6/30/2020,1-30,0,,,,,,,,
17,6/30/2020,1-50,<1,,,,,,,less than,
17,6/30/2020,2-10,0,,,,,,,no vacuum,
17,6/30/2020,2-30,0,,,,,,,,
17,6/30/2020,2-50,<1,,,,,,,less than,
17,6/30/2020,3-10,16,0.5834,1.1668,0.0187,0.2072,0.4144,0.0066304,,
17,6/30/2020,3-30,10,0.5117,1.0234,0.0102,0.1311,0.2622,0.002622,,
17,6/30/2020,3-50,0,,,,,,,,
17,6/30/2020,4-10,0,,,,,,,no vacuum,
17,6/30/2020,4-30,0,,,,,,,,
17,6/30/2020,4-50,0,,,,,,,no vacuum,
17,6/30/2020,5-10,1,,,,,,,,
17,6/30/2020,5-30,14,0.5283,1.0566,0.0148,0.1185,0.2370,0.003318,,
17,6/30/2020,5-50,5,1.558,3.1160,0.0156,0.5894,1.1788,0.005894,,
17,6/30/2020,6-10,1,,,,,,,,
17,6/30/2020,6-30,2,,,,,,,,
17,6/30/2020,6-50,0,,,,,,,,
18,7/14/20,1-10,3,,,,,,,,
18,7/14/20,1-30,19,0.2522,1.0088,19.1672,0.1074,0.4296,8.1624,,
18,7/14/20,1-50,31,0.2478,0.9912,30.7272,0.09504,0.3802,11.7850,,
18,7/14/20,2-10,1,,,,,,,less than,
18,7/14/20,2-30,9,0.6173,2.4692,22.2228,0.05488,0.2195,1.9757,,
18,7/14/20,2-50,26,0.3569,1.4276,37.1176,0.03648,0.1459,3.7939,,
18,7/14/20,3-10,32,0.2435,0.9740,31.1680,0.04150,0.1660,5.3120,,
18,7/14/20,3-30,33,0.2389,0.9556,31.5348,0.05411,0.2164,7.1425,,
18,7/14/20,3-50,2,,,,,,,,
18,7/14/20,4-10,7,,,,,,,,
18,7/14/20,4-30,18,0.3267,1.3068,23.5224,0.01570,0.0628,1.1304,,
18,7/14/20,4-50,5,,,,,,,,
18,7/14/20,5-10,15,0.4410,1.7640,26.4600,0.04788,0.1915,2.8728,,
18,7/14/20,5-30,42,0.2530,1.0120,42.5040,0.000,0.0000,0.0000,,
18,7/14/20,5-50,17,0.5448,2.1792,37.0464,0.04705,0.1882,3.1994,particulate in sample,
18,7/14/20,6-10,11,0.3938,1.5752,17.3272,0.00469,0.0188,0.2064,,
18,7/14/20,6-30,6,,,,,,,,
18,7/14/20,6-50,2,,,,,,,,
18,7/28/20,1-10,1,,,,,,,,
18,7/28/20,1-30,8,0.4659,1.8636,14.9088,0.1384,0.5536,4.4288,,
18,7/28/20,1-50,11,0.4985,1.9940,21.9340,0.02033,0.0813,0.8945,,
18,7/28/20,2-10,7,,,,,,,,
18,7/28/20,2-30,5,,,,,,,,
18,7/28/20,2-50,NA,,,,,,,"pvc prop had fallen out, no sample collected.",
18,7/28/20,3-10,25,0.2304,0.9216,23.0400,0.09806,0.3922,9.8060,,
18,7/28/20,3-30,30,0.2388,0.9552,28.6560,0.03869,0.1548,4.6428,,
18,7/28/20,3-50,3,,,,,,,,
18,7/28/20,4-10,NA,,,,,,,"pvc prop had fallen out, no sample collected.",
18,7/28/20,4-30,39,0.2133,0.8532,33.2748,0.04376,0.1750,6.8266,,
18,7/28/20,4-50,3,,,,,,,,
18,7/28/20,5-10,30,0.6087,2.4348,73.0440,0.08746,0.3498,10.4952,,
18,7/28/20,5-30,37,0.2896,1.1584,42.8608,0.04428,0.1771,6.5534,,
18,7/28/20,5-50,48,0.5717,2.2868,109.7664,0.07174,0.2870,13.7741,,
18,7/28/20,6-10,24,0.3185,1.2740,30.5760,0.05088,0.2035,4.8845,,
18,7/28/20,6-30,39,1.023,4.0920,159.5880,0.1386,0.5544,21.6216,,
18,7/28/20,6-50,1,,,,,,,less than,
18,8/11/20,1-10,0,,,,,,,,
18,8/11/20,1-30,2,,,,,,,,
18,8/11/20,1-50,5,,,,,,,particle matter in sample,
18,8/11/20,2-10,0,,,,,,,,
18,8/11/20,2-30,1,,,,,,,less than,
18,8/11/20,2-50,8,0.3274,1.3096,10.4768,0.08450,0.3380,2.7040,,
18,8/11/20,3-10,5,,,,,,,,
18,8/11/20,3-30,1,,,,,,,less than,
18,8/11/20,3-50,1,,,,,,,less than,
18,8/11/20,4-10,0,,,,,,,no vacuum,
18,8/11/20,4-30,1,,,,,,,less than,
18,8/11/20,4-50,0,,,,,,,no vacuum,
18,8/11/20,5-10,1,,,,,,,less than,
18,8/11/20,5-30,0,,,,,,,no vacuum,
18,8/11/20,5-50,3,,,,,,,,
18,8/11/20,6-10,1,,,,,,,,
18,8/11/20,6-30,18,0.6315,2.5260,45.4680,0.1446,0.5784,10.4112,,
18,8/11/20,6-50,0,,,,,,,,
18,9/9/20,1-10,10,0.4957,1.9828,19.8280,0.04714,0.1886,1.8856,,
18,9/9/20,1-30,22,0.2771,1.1084,24.3848,0.1248,0.4992,10.9824,,
18,9/9/20,1-50,34,0.4371,1.7484,59.4456,0.00564,0.0226,0.7670,,
18,9/9/20,2-10,24,0.4811,1.9244,46.1856,0.2148,0.8592,20.6208,,
18,9/9/20,2-30,23,0.4041,1.6164,37.1772,0.04376,0.1750,4.0259,,
18,9/9/20,2-50,42,0.2320,0.9280,38.9760,0.04471,0.1788,7.5113,,
18,9/9/20,3-10,41,0.1934,0.7736,31.7176,0.09720,0.3888,15.9408,,
18,9/9/20,3-30,42,0.1902,0.7608,31.9536,0.01050,0.0420,1.7640,,
18,9/9/20,3-50,4,0.7340,2.9360,11.7440,0.1312,0.5248,2.0992,,
18,9/9/20,4-10,0,,,,,,,"no vacuum, might need to make a new hole",
18,9/9/20,4-30,43,0.2456,0.9824,42.2432,0.01834,0.0734,3.1545,,
18,9/9/20,4-50,18,0.4026,1.6104,28.9872,0.05560,0.2224,4.0032,,
18,9/9/20,5-10,53,0.6311,2.5244,133.7932,0.2532,1.0128,53.6784,,
18,9/9/20,5-30,52,0.3141,1.2564,65.3328,0.02391,0.0956,4.9733,,
18,9/9/20,5-50,54,0.9383,3.7532,202.6728,0.07739,0.3096,16.7162,,
18,9/9/20,6-10,37,0.4537,1.8148,67.1476,0.03965,0.1586,5.8682,,
18,9/9/20,6-30,26,0.6638,2.6552,69.0352,0.08653,0.3461,8.9991,,
18,9/9/20,6-50,2,,,,,,,,
18,9/23/20,1-10,0,,,,,,,,
18,9/23/20,1-30,3,,,,,,,,
18,9/23/20,1-50,1,,,,,,,less than,
18,9/23/20,2-10,1,,,,,,,less than,
18,9/23/20,2-30,2,,,,,,,,
18,9/23/20,2-50,11,0.3411,1.3644,15.0084,0.07317,0.2927,3.2195,,
18,9/23/20,3-10,0,,,,,,,no vacuum,
18,9/23/20,3-30,0,,,,,,,,
18,9/23/20,3-50,0,,,,,,,no vacuum,
18,9/23/20,4-10,0,,,,,,,no vacuum,
18,9/23/20,4-30,0,,,,,,,,
18,9/23/20,4-50,0,,,,,,,no vacuum,
18,9/23/20,5-10,0,,,,,,,,
18,9/23/20,5-30,3,,,,,,,,
18,9/23/20,5-50,1,,,,,,,less than,
18,9/23/20,6-10,0,,,,,,,,
18,9/23/20,6-30,1,,,,,,,less than,
18,9/23/20,6-50,0,,,,,,,,
18,10/6/20,1-10,14,0.5253,2.1012,29.4168,0.04348,0.1739,2.4349,,
18,10/6/20,1-30,26,0.5127,2.0508,53.3208,0.1429,0.5716,14.8616,,
18,10/6/20,1-50,26,0.3854,1.5416,40.0816,0.04361,0.1744,4.5354,,
18,10/6/20,2-10,51,0.5495,2.1980,112.0980,0.2161,0.8644,44.0844,,
18,10/6/20,2-30,17,0.3605,1.4420,24.5140,0.04174,0.1670,2.8383,,
18,10/6/20,2-50,39,0.3894,1.5576,60.7464,0.07322,0.2929,11.4223,,
18,10/6/20,3-10,47,0.2357,0.9428,44.3116,0.1289,0.5156,24.2332,,
18,10/6/20,3-30,51,0.3965,1.5860,80.8860,0.06869,0.2748,14.0128,,
18,10/6/20,3-50,NA,,,,,,,had no vacuum prior to installing the syringe,
18,10/6/20,4-10,NA,,,,,,,had no vacuum prior to installing the syringe,
18,10/6/20,4-30,44,0.8389,3.3556,147.6464,0.07636,0.3054,13.4394,,
18,10/6/20,4-50,47,0.3073,1.2292,57.7724,0.02262,0.0905,4.2526,,
18,10/6/20,5-10,50,0.7844,3.1376,156.8800,0.6279,2.5116,125.5800,,
18,10/6/20,5-30,53,0.5941,2.3764,125.9492,0.1592,0.6368,33.7504,,
18,10/6/20,5-50,51,0.2745,1.0980,55.9980,0.04856,0.1942,9.9062,,
18,10/6/20,6-10,31,0.6284,2.5136,77.9216,0.05844,0.2338,7.2466,,
18,10/6/20,6-30,30,1.059,4.2360,127.0800,0.2588,1.0352,31.0560,,
18,10/6/20,6-50,1,,,,,,,less than,
19,10/20/20,1-10,3,0.5327,2.1308,6.3924,0.1165,0.4660,1.3980,,
19,10/20/20,1-30,19,0.2475,0.4950,9.4050,0.2302,0.4604,8.7476,,
19,10/20/20,1-50,30,0.4465,0.8930,26.7900,0.03098,0.0620,1.8588,,
19,10/20/20,2-10,11,0.8236,1.6472,18.1192,0.6185,1.2370,13.6070,,
19,10/20/20,2-30,8,0.6934,1.3868,11.0944,0.09725,0.1945,1.5560,,
19,10/20/20,2-50,21,0.5140,1.0280,21.5880,0.1113,0.2226,4.6746,,
19,10/20/20,3-10,9,2.268,4.5360,40.8240,0.6639,1.3278,11.9502,,
19,10/20/20,3-30,20,0.5682,1.1364,22.7280,0.2782,0.5564,11.1280,,
19,10/20/20,3-50,13,0.6336,1.2672,16.4736,0.3362,0.6724,8.7412,,
19,10/20/20,4-10,NA,,,,,,,had no vacuum prior to installing,
19,10/20/20,4-30,0,,,,,,,low vacuum,
19,10/20/20,4-50,21,0.3747,0.7494,15.7374,0.03213,0.0643,1.3495,,
19,10/20/20,5-10,7,0.8539,1.7078,11.9546,0.2806,0.5612,3.9284,,
19,10/20/20,5-30,31,0.2772,0.5544,17.1864,0.06340,0.1268,3.9308,,
19,10/20/20,5-50,13,0.6095,1.2190,15.8470,0.6217,1.2434,16.1642,,
19,10/20/20,6-10,9,0.4581,0.9162,8.2458,0.1977,0.3954,3.5586,,
19,10/20/20,6-30,3,,,,,,,,
19,10/20/20,6-50,0,,,,,,,no vacuum,
19,11/5/20,1-10,1,,,,,,,less than,
19,11/5/20,1-30,1,,,,,,,less than,
19,11/5/20,1-50,1,,,,,,,less than,
19,11/5/20,2-10,27,0.4381,0.8762,23.6574,1.273,2.5460,68.7420,,
19,11/5/20,2-30,15,0.4583,0.9166,13.7490,0.1546,0.3092,4.6380,,
19,11/5/20,2-50,2,0.7061,2.8244,5.6488,0.07876,0.3150,0.6301,,
19,11/5/20,3-10,25,0.3488,0.6976,17.4400,0.2997,0.5994,14.9850,,
19,11/5/20,3-30,43,0.3342,0.6684,28.7412,0.07315,0.1463,6.2909,,
19,11/5/20,3-50,22,0.4124,0.8248,18.1456,0.4881,0.9762,21.4764,,
19,11/5/20,4-10,0,,,,,,,no vacuum,
19,11/5/20,4-30,51,0.3450,0.6900,35.1900,0.08932,0.1786,9.1106,,
19,11/5/20,4-50,20,0.6200,1.2400,24.8000,0.3170,0.6340,12.6800,,
19,11/5/20,5-10,54,0.4653,0.9306,50.2524,0.6683,1.3366,72.1764,,
19,11/5/20,5-30,36,0.3703,0.7406,26.6616,0.1296,0.2592,9.3312,,
19,11/5/20,5-50,54,1.553,3.1060,167.7240,0.3828,0.7656,41.3424,,
19,11/5/20,6-10,53,0.6395,1.2790,67.7870,0.3424,0.6848,36.2944,,
19,11/5/20,6-30,41,0.8349,1.6698,68.4618,0.3131,0.6262,25.6742,,
19,11/5/20,6-50,1,,,,,,,no vacuum,
19,11/17/20,1-10,2,0.8489,3.3956,6.7912,0.1536,0.6144,1.2288,,
19,11/17/20,1-30,13,0.3954,0.7908,10.2804,0.2633,0.5266,6.8458,,
19,11/17/20,1-50,7,0.6247,1.2494,8.7458,0.1551,0.3102,2.1714,,
19,11/17/20,2-10,10,0.5859,1.1718,11.7180,0.7565,1.5130,15.1300,,
19,11/17/20,2-30,5,0.8629,1.7258,8.6290,0.3329,0.6658,3.3290,,
19,11/17/20,2-50,19,0.5164,1.0328,19.6232,0.1589,0.3178,6.0382,,
19,11/17/20,3-10,12,0.2941,0.5882,7.0584,0.2182,0.4364,5.2368,,
19,11/17/20,3-30,28,1.349,2.6980,75.5440,0.2537,0.5074,14.2072,,
19,11/17/20,3-50,16,0.5487,1.0974,17.5584,0.4900,0.9800,15.6800,,
19,11/17/20,4-10,1,,,,,,,less than,
19,11/17/20,4-30,0,,,,,,,no vacuum,
19,11/17/20,4-50,10,0.5366,1.0732,10.7320,0.1380,0.2760,2.7600,,
19,11/17/20,5-10,9,0.4474,0.8948,8.0532,0.4202,0.8404,7.5636,,
19,11/17/20,5-30,28,1.013,2.0260,56.7280,0.1816,0.3632,10.1696,,
19,11/17/20,5-50,7,0.8238,1.6476,11.5332,0.3790,0.7580,5.3060,,
19,11/17/20,6-10,8,0.5084,1.0168,8.1344,0.1353,0.2706,2.1648,,
19,11/17/20,6-30,3,0.5277,2.1108,6.3324,0.1999,0.7996,2.3988,,
19,11/17/20,6-50,1,,,,,,,less than,
19,12/1/20,1-10,0,,,,,,,no vacuum,
19,12/1/20,1-30,6,0.4759,0.9518,5.7108,0.2324,0.4648,2.7888,,
19,12/1/20,1-50,16,0.5031,1.0062,16.0992,0.1728,0.3456,5.5296,,
19,12/1/20,2-10,7,0.4219,1.6876,11.8132,0.7020,2.8080,19.6560,,
19,12/1/20,2-30,9,0.6208,1.2416,11.1744,0.2016,0.4032,3.6288,,
19,12/1/20,2-50,19,0.4096,0.8192,15.5648,0.1770,0.3540,6.7260,,
19,12/1/20,3-10,1,,,,,,,,
19,12/1/20,3-30,13,0.5474,1.0948,14.2324,0.1361,0.2722,3.5386,,
19,12/1/20,3-50,13,0.6533,1.3066,16.9858,0.5054,1.0108,13.1404,,
19,12/1/20,4-10,1,,,,,,,less than,
19,12/1/20,4-30,7,0.5302,1.0604,7.4228,0.1506,0.3012,2.1084,,
19,12/1/20,4-50,1,,,,,,,less than,
19,12/1/20,5-10,5,0.6545,1.3090,6.5450,0.4683,0.9366,4.6830,,
19,12/1/20,5-30,0,,,,,,,no vacuum,
19,12/1/20,5-50,6,0.9278,1.8556,11.1336,0.3220,0.6440,3.8640,,
19,12/1/20,6-10,6,0.4048,1.6192,9.7152,0.1023,0.4092,2.4552,,
19,12/1/20,6-30,1,,,,,,,less than,
19,12/1/20,6-50,1,,,,,,,less than,
19,12/15/20,1-10,2,0.4634,1.8536,3.7072,0.2756,1.1024,2.2048,,
19,12/15/20,1-30,12,0.6701,1.3402,16.0824,0.4574,0.9148,10.9776,,
19,12/15/20,1-50,17,0.6611,1.3222,22.4774,0.08677,0.1735,2.9502,,
19,12/15/20,2-10,10,0.6603,1.3206,13.2060,1.470,2.9400,29.4000,,
19,12/15/20,2-30,8,0.9521,1.9042,15.2336,0.4712,0.9424,7.5392,,
19,12/15/20,2-50,18,0.4147,0.8294,14.9292,0.3109,0.6218,11.1924,,
19,12/15/20,3-10,19,0.5008,1.0016,19.0304,0.3414,0.6828,12.9732,,
19,12/15/20,3-30,31,0.3257,0.6514,20.1934,0.1059,0.2118,6.5658,,
19,12/15/20,3-50,,1.037,2.0740,0.0000,0.5425,1.0850,0.0000,,
19,12/15/20,4-10,1,,,,,,,,
19,12/15/20,4-30,10,0.8917,1.7834,17.8340,0.2599,0.5198,5.1980,,
19,12/15/20,4-50,<1,,,,,,,,
19,12/15/20,5-10,18,0.5101,1.0202,18.3636,0.5405,1.0810,19.4580,,
19,12/15/20,5-30,34,0.4089,0.8178,27.8052,0.07060,0.1412,4.8008,,
19,12/15/20,5-50,20,0.5119,1.0238,20.4760,0.3332,0.6664,13.3280,,
19,12/15/20,6-10,8,0.6911,1.3822,11.0576,0.1515,0.3030,2.4240,,
19,12/15/20,6-30,2,0.9572,3.8288,7.6576,0.3255,1.3020,2.6040,,
19,12/15/20,6-50,0,,,,,,,,
20,12/29/20,1-10,2,0.6744,2.6976,5.3952,0.1772,0.7088,1.4176,,
20,12/29/20,1-30,10,0.6703,1.3406,13.4060,0.2933,0.5866,5.8660,,
20,12/29/20,1-50,27,0.4644,0.9288,25.0776,0.1265,0.2530,6.8310,,
20,12/29/20,2-10,11,0.6498,1.2996,14.2956,0.4950,0.9900,10.8900,,
20,12/29/20,2-30,10,0.6334,1.2668,12.6680,0.2983,0.5966,5.9660,,
20,12/29/20,2-50,19,0.3912,0.7824,14.8656,0.2277,0.4554,8.6526,,
20,12/29/20,3-10,15,0.4108,0.8216,12.3240,0.3260,0.6520,9.7800,,
20,12/29/20,3-30,25,0.2727,0.5454,13.6350,0.1159,0.2318,5.7950,,
20,12/29/20,3-50,11,0.4490,0.8980,9.8780,0.4094,0.8188,9.0068,,
20,12/29/20,4-10,5,0.5871,2.3484,11.7420,0.2488,0.9952,4.9760,,
20,12/29/20,4-30,24,0.3574,0.7148,17.1552,0.09152,0.1830,4.3930,,
20,12/29/20,4-50,5,0.7384,1.4768,7.3840,0.2721,0.5442,2.7210,,
20,12/29/20,5-10,29,0.4938,0.9876,28.6404,0.6252,1.2504,36.2616,,
20,12/29/20,5-30,31,0.3849,0.7698,23.8638,0.1439,0.2878,8.9218,,
20,12/29/20,5-50,54,1.119,2.2380,120.8520,0.5452,1.0904,58.8816,,
20,12/29/20,6-10,8,3.760,15.0400,120.3200,0.6712,2.6848,21.4784,,
20,12/29/20,6-30,3,0.7248,1.4496,4.3488,0.4220,0.8440,2.5320,,
20,12/29/20,6-50,0,,,,,,,had vacuum,
20,1/12/21,1-10,1,,,,,,,"less than, not collected",
20,1/12/21,1-30,13,0.3359,0.6718,8.7334,0.3463,0.6926,9.0038,,
20,1/12/21,1-50,20,0.3594,0.7188,14.3760,0.1120,0.2240,4.4800,,
20,1/12/21,2-10,5,0.8647,1.7294,8.6470,0.5344,1.0688,5.3440,,
20,1/12/21,2-30,6,2.390,4.7800,28.6800,0.6069,1.2138,7.2828,,
20,1/12/21,2-50,18,0.3960,0.7920,14.2560,0.2835,0.5670,10.2060,,
20,1/12/21,3-10,9,0.5288,1.0576,9.5184,0.4309,0.8618,7.7562,,
20,1/12/21,3-30,15,0.4402,0.8804,13.2060,0.2655,0.5310,7.9650,,
20,1/12/21,3-50,12,0.4899,0.9798,11.7576,0.3763,0.7526,9.0312,,
20,1/12/21,4-10,0,,,,,,,no vacuum,
20,1/12/21,4-30,6,0.5170,1.0340,6.2040,0.1944,0.3888,2.3328,,
20,1/12/21,4-50,0,,,,,,,no vacuum,
20,1/12/21,5-10,4,0.7234,1.4468,5.7872,0.5439,1.0878,4.3512,,
20,1/12/21,5-30,22,0.3287,0.6574,14.4628,0.08252,0.1650,3.6309,,
20,1/12/21,5-50,11,0.6564,1.3128,14.4408,0.7028,1.4056,15.4616,,
20,1/12/21,6-10,5,0.4737,0.9474,4.7370,0.2036,0.4072,2.0360,,
20,1/12/21,6-30,2,,,,,,,no sample collected,
20,1/12/21,6-50,0,,,,,,,,
20,1/26/21,1-10,0,,,,,,,,
20,1/26/21,1-30,1,,,,,,,less than,
20,1/26/21,1-50,0,,,,,,,,
20,1/26/21,2-10,0,,,,,,,,
20,1/26/21,2-30,1,,,,,,,less than,
20,1/26/21,2-50,1,,,,,,,,
20,1/26/21,3-10,5,0.6940,1.3880,6.9400,0.5490,1.0980,5.4900,,
20,1/26/21,3-30,8,0.5707,1.1414,9.1312,0.2683,0.5366,4.2928,,
20,1/26/21,3-50,7,0.5645,1.1290,7.9030,0.3979,0.7958,5.5706,,
20,1/26/21,4-10,0,,,,,,,,
20,1/26/21,4-30,0,,,,,,,,
20,1/26/21,4-50,0,,,,,,,,
20,1/26/21,5-10,10,0.7889,1.5778,15.7780,0.9064,1.8128,18.1280,,
20,1/26/21,5-30,17,0.3844,0.7688,13.0696,0.1804,0.3608,6.1336,,
20,1/26/21,5-50,14,1.284,2.5680,35.9520,0.5480,1.0960,15.3440,,
20,1/26/21,6-10,4,0.7057,2.8228,11.2912,0.3780,1.5120,6.0480,,
20,1/26/21,6-30,2,,,,,,,,
20,1/26/21,6-50,0,,,,,,,,
20,2/9/21,1-10,5,1.799,3.5980,17.9900,0.2206,0.4412,2.2060,,
20,2/9/21,1-30,14,0.3597,0.7194,10.0716,0.4211,0.8422,11.7908,,
20,2/9/21,1-50,22,0.3650,0.7300,16.0600,0.2711,0.5422,11.9284,,
20,2/9/21,2-10,23,0.6282,1.2564,28.8972,0.2343,0.4686,10.7778,,
20,2/9/21,2-30,13,0.4739,0.9478,12.3214,0.4641,0.9282,12.0666,,
20,2/9/21,2-50,20,1.196,2.3920,47.8400,0.3943,0.7886,15.7720,,
20,2/9/21,3-10,16,0.3345,0.6690,10.7040,0.3605,0.7210,11.5360,,
20,2/9/21,3-30,35,0.3073,0.6146,21.5110,0.2073,0.4146,14.5110,,
20,2/9/21,3-50,40,0.4554,0.9108,36.4320,0.4674,0.9348,37.3920,,
20,2/9/21,4-10,0,,,,,,,"no vacuum, but had vacuum when syringe was put out",
20,2/9/21,4-30,31,0.2744,0.5488,17.0128,0.1581,0.3162,9.8022,,
20,2/9/21,4-50,2,0.9490,3.7960,7.5920,0.2673,1.0692,2.1384,,
20,2/9/21,5-10,31,0.5844,1.1688,36.2328,0.6890,1.3780,42.7180,,
20,2/9/21,5-30,25,0.3242,0.6484,16.2100,0.09611,0.1922,4.8055,,
20,2/9/21,5-50,50,1.257,2.5140,125.7000,0.7472,1.4944,74.7200,,
20,2/9/21,6-10,52,0.5698,1.1396,59.2592,0.1463,0.2926,15.2152,,
20,2/9/21,6-30,37,1.735,3.4700,128.3900,0.3424,0.6848,25.3376,,
20,2/9/21,6-50,1,,,,,,,less than,
20,2/23/21,1-10,6,2.099,4.1980,25.1880,0.2175,0.4350,2.6100,,
20,2/23/21,1-30,13,1.098,2.1960,28.5480,0.2868,0.5736,7.4568,,
20,2/23/21,1-50,15,0.8428,1.6856,25.2840,0.06982,0.1396,2.0946,,
20,2/23/21,2-10,14,1.119,2.2380,31.3320,0.1405,0.2810,3.9340,,
20,2/23/21,2-30,9,1.904,3.8080,34.2720,0.3660,0.7320,6.5880,,
20,2/23/21,2-50,19,1.081,2.1620,41.0780,0.4476,0.8952,17.0088,,
20,2/23/21,3-10,16,0.5273,1.0546,16.8736,0.4593,0.9186,14.6976,,
20,2/23/21,3-30,41,0.4129,0.8258,33.8578,0.2546,0.5092,20.8772,,
20,2/23/21,3-50,35,0.4071,0.8142,28.4970,0.5201,1.0402,36.4070,,
20,2/23/21,4-10,0,,,,,,,,
20,2/23/21,4-30,9,1.341,2.6820,24.1380,0.1494,0.2988,2.6892,,
20,2/23/21,4-50,1,,,,,,,less than,
20,2/23/21,5-10,50,0.5826,1.1652,58.2600,0.5710,1.1420,57.1000,,
20,2/23/21,5-30,28,0.4576,0.9152,25.6256,0.1077,0.2154,6.0312,,
20,2/23/21,5-50,54,0.9459,1.8918,102.1572,0.4206,0.8412,45.4248,,
20,2/23/21,6-10,46,0.7780,1.5560,71.5760,0.1610,0.3220,14.8120,,
20,2/23/21,6-30,43,2.399,4.7980,206.3140,0.2080,0.4160,17.8880,,
20,2/23/21,6-50,1,,,,,,,less than,
21,3/9/21,1-10,0,,,,,,,,
21,3/9/21,1-30,0,,,,,,,,
21,3/9/21,1-50,0,,,,,,,,
21,3/9/21,2-10,0,,,,,,,,
21,3/9/21,2-30,6,0.7552,1.5104,9.0624,0.4216,0.8432,5.0592,,
21,3/9/21,2-50,1,,,,,,,,
21,3/9/21,3-10,0,,,,,,,,
21,3/9/21,3-30,6,0.7455,1.4910,8.9460,0.3588,0.7176,4.3056,,
21,3/9/21,3-50,4,0.6936,2.7744,11.0976,0.3916,1.5664,6.2656,,
21,3/9/21,4-10,0,,,,,,,no vacuum,
21,3/9/21,4-30,0,,,,,,,,
21,3/9/21,4-50,0,,,,,,,no vacuum,
21,3/9/21,5-10,0,,,,,,,no vacuum,
21,3/9/21,5-30,0,,,,,,,,
21,3/9/21,5-50,0,,,,,,,,
21,3/9/21,6-10,0,,,,,,,,
21,3/9/21,6-30,0,,,,,,,,
21,3/9/21,6-50,0,,,,,,,no vacuum,
21,3/23/21,1-10,0,,,,,,,,
21,3/23/21,1-30,0,,,,,,,,
21,3/23/21,1-50,0,,,,,,,,
21,3/23/21,2-10,0,,,,,,,,
21,3/23/21,2-30,0,,,,,,,,
21,3/23/21,2-50,0,,,,,,,,
21,3/23/21,3-10,1,,,,,,,less than,
21,3/23/21,3-30,2,,,,,,,,
21,3/23/21,3-50,0,,,,,,,,
21,3/23/21,4-10,NA,,,,,,,no syringe put out because no vacuum,
21,3/23/21,4-30,0,,,,,,,,
21,3/23/21,4-50,0,,,,,,,no vacuum,
21,3/23/21,5-10,1,,,,,,,,
21,3/23/21,5-30,4,0.4373,1.7492,6.9968,0.1042,0.4168,1.6672,,
21,3/23/21,5-50,4,1.367,2.7340,10.9360,0.3135,0.6270,2.5080,,
21,3/23/21,6-10,2,0.7229,2.8916,5.7832,0.1448,0.5792,1.1584,,
21,3/23/21,6-30,1,,,,,,,,
21,3/23/21,6-50,1,,,,,,,less than,
21,4/6/21,1-10,0,,,,,,,,
21,4/6/21,1-30,0,,,,,,,,
21,4/6/21,1-50,0,,,,,,,,
21,4/6/21,2-10,0,,,,,,,,
21,4/6/21,2-30,0,,,,,,,,
21,4/6/21,2-50,0,,,,,,,,
21,4/6/21,3-10,21,0.4916,0.9832,20.6472,0.4200,0.8400,17.6400,,
21,4/6/21,3-30,15,0.5772,1.1544,17.3160,0.2581,0.5162,7.7430,,
21,4/6/21,3-50,10,0.7293,1.4586,14.5860,0.2632,0.5264,5.2640,,
